School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Great Hearts Academies - Archway Veritas,Phoenix,85018,1,1,1,1,5,0,716,12,1.68,126,17.6,10,10.0,480,67.04,58,8.1,37,5.17,10,10.0,28.91,8.84,0.0,20.1,99.44,0.0,63.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Arete Prep,Gilbert,85234,0,0,1,1,5,0,559,29,5.19,144,25.76,10,10.0,303,54.2,36,6.44,45,8.05,10,10.0,19.52,10.0,0.33,18.2,97.27,0.0,47.0,0.0,14.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Chandler Prep,Chandler,85225,0,0,1,1,5,0,712,43,6.04,116,16.29,10,10.0,347,48.74,64,8.99,130,18.26,10,10.0,27.37,10.0,1.55,19.2,99.28,0.0,106.0,0.0,3.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Cicero Prep,Scottsdale,85258,0,0,1,1,5,0,502,15,2.99,92,18.33,10,10.0,326,64.94,43,8.57,18,3.59,10,10.0,23.8,8.84,6.5,17.6,100.0,0.0,119.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Glendale Prep,Peoria,85383,0,0,1,1,5,0,610,12,1.97,89,14.59,10,10.0,389,63.77,32,5.25,80,13.12,10,10.0,23.75,10.0,0.9,19.0,100.0,0.0,13.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Lincoln Prep,Chandler,85286,0,0,1,1,3,0,535,36,6.73,75,14.02,10,10.0,251,46.92,46,8.6,123,22.99,10,10.0,20.11,8.84,1.11,17.4,99.25,0.0,112.0,0.0,2.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - North Phoenix Prep,Phoenix,85022,0,0,1,1,5,0,522,16,3.06,116,22.22,10,10.0,296,56.7,29,5.56,61,11.69,10,10.0,25.63,10.0,9.82,18.3,96.44,0.0,101.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Scottsdale Prep,Scottsdale,85260,0,1,1,1,5,0,875,10,10.0,94,10.74,10,10.0,596,68.11,42,4.8,136,15.54,10,10.0,27.36,10.0,6.99,19.9,99.76,0.0,140.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Trivium Prep,Goodyear,85395,0,0,1,1,5,0,894,55,6.15,316,35.35,10,10.0,355,39.71,69,7.72,89,9.96,10,10.0,24.85,10.0,1.18,18.0,99.32,0.0,152.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Great Hearts Academies - Veritas Prep,Phoenix,85018,0,0,1,1,4,0,802,20,2.49,179,22.32,10,10.0,498,62.09,53,6.61,44,5.49,10,10.0,23.91,10.0,0.69,18.1,98.48,0.0,188.0,0.0,10.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
