School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Ken 'Chief' Hill Learning Academy,Public,Chandler,85225,07 - 12,,,Unranked,Unranked,,,"9,426",49%,,,"9,751",51%,,,324,2%,,,23,0%,,,"11,040",58%,,,"4,578",24%,,,"1,275",7%,,,"1,615",8%,,,322,2%,,,"14,674",77%,,,552,3%,,,"3,951",21%,"{'Willis Junior High School': '1 miles', 'Chandler High School': '3 miles', 'South Valley Junior High School': '3 miles', 'Chandler Online Academy': '3 miles', 'Mesquite High School': '4 miles', 'Campo Verde High School': '4 miles', 'Arizona College Prep Erie Campus': '4 miles', 'Mesquite Jr High School': '4 miles', 'Hamilton High School': '4 miles', 'Tri-City Christian Academy': '5 miles'}"
Oasis Recovery,Private,Chandler,85225,07 - 12,35,35:1,"6,014th out of 7,602",60th out of 74,18,51%,"6,967",54%,17,49%,"6,040",46%,20,57%,"8,083",65%,9,26%,644,5%,4,11%,"2,195",18%,1,3%,629,5%,1,3%,740,6%,0,0%,42,0%,0,0%,128,1%,,,,,,,,,,,,,"{'Mesquite High School': '2 miles', 'Chandler Online Academy': '2 miles', 'Dobson High School': '2 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Chandler High School': '3 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Mesa Transitional Learning Center': '4 miles', 'Mesquite Jr High School': '4 miles', 'Rhodes Junior High School': '4 miles', 'Willis Junior High School': '4 miles'}"
Paragon Science Academy,Public,Chandler,85226,KG - 12,448,-1:1,"11,638th out of 26,089",210th out of 659,227,51%,227,51%,221,49%,221,49%,164,37%,164,37%,129,29%,129,29%,84,19%,84,19%,53,12%,53,12%,14,3%,14,3%,4,1%,4,1%,0,0%,0,0%,296,(66%),296,66%,138,(31%),138,31%,14,(3%),14,3%,"{'Corona Del Sol High School': '2 miles', 'Valley Christian High School': '2 miles', 'Desert Garden Montessori': '3 miles', 'Mountain Pointe High School': '4 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Chrysalis Academy Day School for Children with Aut': '5 miles', 'Tri-City Christian Academy': '5 miles', 'Marcos De Niza High School': '5 miles', 'Compadre High School': '5 miles', 'Arizona College Prep Erie Campus': '5 miles'}"
Primavera - Online,Public,Chandler,85225,06 - 12,"3,299",-1:1,"153rd out of 26,089",7th out of 659,"1,857",56%,"1,857",56%,"1,442",44%,"1,442",44%,"1,622",49%,"1,622",49%,"1,220",37%,"1,220",37%,154,5%,154,5%,143,4%,143,4%,109,3%,109,3%,32,1%,32,1%,19,1%,19,1%,"1,885",(57%),"1,885",57%,883,(27%),883,27%,531,(16%),531,16%,"{'Mesquite High School': '1 miles', 'Chandler Online Academy': '2 miles', 'Mesquite Jr High School': '3 miles', 'Mesa Transitional Learning Center': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Chandler High School': '3 miles', 'Dobson High School': '3 miles', 'Rhodes Junior High School': '4 miles', 'Willis Junior High School': '4 miles'}"
Santan Junior High School,Public,Chandler,85249,07 - 08,"1,354",21.6:1,Unranked,Unknown,692,51%,"9,751",51%,662,49%,"9,426",49%,950,70%,"11,040",58%,167,12%,"4,578",24%,117,9%,"1,615",8%,78,6%,"1,275",7%,27,2%,324,2%,15,1%,322,2%,0,0%,23,0%,"1,175",(87%),"14,674",77%,146,(11%),"3,951",21%,33,(2%),552,3%,"{'Hamilton High School': '3 miles', 'Bogle Junior High School': '4 miles', 'Basha High School': '4 miles', 'Willis Junior High School': '5 miles', 'Tri-City Christian Academy': '5 miles', 'Campo Verde High School': '5 miles', 'Perry High School': '5 miles', 'Chandler High School': '6 miles', 'Willie & Coy Payne Junior High School': '6 miles', 'Chandler Online Academy': '6 miles'}"
Seton Catholic Preparatory High School,Private,Chandler,85224,09 - 12,595,15:1,"881st out of 7,602",9th out of 74,299,50%,"6,995",54%,296,50%,"6,052",46%,431,72%,"8,106",65%,98,16%,"2,199",18%,29,5%,629,5%,20,3%,741,6%,8,1%,646,5%,6,1%,137,1%,3,1%,43,0%,,,,,,,,,,,,,"{'Arizona College Prep Erie Campus': '2 miles', 'Chandler Online Academy': '2 miles', 'Chandler High School': '3 miles', 'Dobson High School': '3 miles', 'Corona Del Sol High School': '3 miles', 'Mesquite High School': '4 miles', 'Willis Junior High School': '4 miles', 'Marcos De Niza High School': '4 miles', 'Rhodes Junior High School': '4 miles', 'Tri-City Christian Academy': '4 miles'}"
Tri-City Christian Academy,Private,Chandler,85286,KG - 12,276,15:1,"2,249th out of 7,602",21st out of 74,145,53%,"5,729",54%,131,47%,"4,854",46%,173,63%,"6,206",61%,40,14%,679,7%,23,8%,"2,042",20%,23,8%,619,6%,13,5%,546,5%,4,1%,119,1%,0,0%,36,0%,,,,,,,,,,,,,"{'Bogle Junior High School': '2 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Hamilton High School': '3 miles', 'Chandler High School': '4 miles', 'Chandler Online Academy': '4 miles', 'Willis Junior High School': '4 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Corona Del Sol High School': '5 miles', 'Santan Junior High School': '5 miles', 'Valley Christian High School': '6 miles'}"
Valley Christian High School,Private,Chandler,85226,09 - 12,388,12:1,"1,576th out of 7,602",15th out of 74,214,55%,"7,055",54%,174,45%,"6,087",46%,318,82%,"8,166",65%,32,8%,"2,220",18%,21,5%,656,5%,8,2%,743,6%,4,1%,629,5%,3,1%,139,1%,2,1%,43,0%,,,,,,,,,,,,,"{'Desert Garden Montessori': '2 miles', 'Mountain Pointe High School': '2 miles', 'Corona Del Sol High School': '3 miles', 'Desert Vista High School': '4 miles', 'Compadre High School': '4 miles', 'Seton Catholic Preparatory High School': '5 miles', 'Marcos De Niza High School': '5 miles', 'Chrysalis Academy Day School for Children with Aut': '5 miles', 'Arizona Cultural Academy & College Prep': '5 miles', 'Arizona College Prep Erie Campus': '6 miles'}"
Willis Junior High School,Public,Chandler,85225,07 - 08,873,16.2:1,Unranked,Unknown,446,51%,"9,751",51%,427,49%,"9,426",49%,482,55%,"4,578",24%,254,29%,"11,040",58%,63,7%,"1,275",7%,39,4%,"1,615",8%,19,2%,322,2%,15,2%,324,2%,1,0%,23,0%,496,(57%),"3,951",21%,348,(40%),"14,674",77%,29,(3%),552,3%,"{'Chandler Online Academy': '2 miles', 'Chandler High School': '2 miles', 'Arizona College Prep Erie Campus': '3 miles', 'South Valley Junior High School': '3 miles', 'Mesquite High School': '3 miles', 'Campo Verde High School': '4 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Tri-City Christian Academy': '4 miles', 'Mesquite Jr High School': '4 miles', 'Bogle Junior High School': '4 miles'}"
Dysart High School,Public,El Mirage,85335,09 - 12,"1,557",23.8:1,"3,122nd out of 26,089",99th out of 659,884,57%,"4,124",51%,673,43%,"3,917",49%,841,54%,"2,801",35%,460,30%,"3,944",49%,138,9%,692,9%,46,3%,296,4%,38,2%,209,3%,26,2%,70,1%,8,1%,29,0%,906,(58%),"2,954",37%,484,(31%),"4,398",55%,167,(11%),689,9%,"{'Valley Vista High School': '4 miles', 'Peoria High School': '6 miles', 'Raymond S. Kellis': '6 miles', 'Centennial High School': '7 miles', 'Willow Canyon High School': '7 miles', 'Peoria Flex Academy': '7 miles', 'Millennium High School': '7 miles', 'Shadow Ridge High School': '8 miles', 'Copper Canyon High School': '8 miles', 'Gary K. Herberger Young Scholars Academy': '11 miles'}"
West-Mec - Dysart High School,Public,El Mirage,85335,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,238,57%,0,0%,183,43%,1,100%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,186,44%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Dysart High School': '1 miles', 'Valley Vista High School': '4 miles', 'Peoria High School': '6 miles', 'Raymond S. Kellis': '6 miles', 'Centennial High School': '7 miles', 'Willow Canyon High School': '7 miles', 'Peoria Flex Academy': '7 miles', 'Millennium High School': '7 miles', 'Shadow Ridge High School': '8 miles', 'Copper Canyon High School': '8 miles'}"
Fountain Hills High School,Public,Fountain Hills,85268,09 - 12,557,18.1:1,"9,922nd out of 26,089",185th out of 659,318,57%,318,57%,239,43%,239,43%,447,80%,447,80%,43,8%,43,8%,31,6%,31,6%,19,3%,19,3%,10,2%,10,2%,4,1%,4,1%,3,1%,3,1%,480,(86%),480,86%,61,(11%),61,11%,16,(3%),16,3%,"{'Desert Mountain High School': '5 miles', 'Notre Dame Preparatory': '9 miles', 'Gateway Academy': '11 miles', 'Stapley Junior High School': '11 miles', 'Chaparral High School': '12 miles', 'Saguaro High School': '12 miles', 'Desert Shadows Middle School': '13 miles', 'Mesa Academy for Advanced Studies': '13 miles', 'Horizon High School': '13 miles', 'Mountain View High School': '13 miles'}"
Fountain Hills.online,Public,Fountain Hills,85268,09 - 12,,,Unranked,Unranked,,,239,43%,,,318,57%,,,10,2%,,,4,1%,,,447,80%,,,31,6%,,,3,1%,,,19,3%,,,43,8%,,,480,86%,,,16,3%,,,61,11%,"{'Fountain Hills High School': '1 miles', 'Desert Mountain High School': '5 miles', 'Notre Dame Preparatory': '9 miles', 'Gateway Academy': '11 miles', 'Stapley Junior High School': '11 miles', 'Chaparral High School': '12 miles', 'Saguaro High School': '12 miles', 'Desert Shadows Middle School': '13 miles', 'Mesa Academy for Advanced Studies': '13 miles', 'Mountain View High School': '13 miles'}"
Gila Bend High School,Public,Gila Bend,85337,09 - 12,121,17.3:1,"19,646th out of 26,089",378th out of 659,63,52%,63,52%,58,48%,58,48%,74,61%,74,61%,32,26%,32,26%,14,12%,14,12%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,118,(98%),118,98%,3,(2%),3,2%,0,(0%),0,0%,{}
Arizona Connections Academy,Public,Gilbert,85297,KG - 12,"1,892",-1:1,"1,915th out of 26,089",65th out of 659,"1,001",53%,"1,001",53%,891,47%,891,47%,"1,195",63%,"1,195",63%,409,22%,409,22%,141,7%,141,7%,75,4%,75,4%,40,2%,40,2%,29,2%,29,2%,3,0%,3,0%,"1,035",(55%),"1,035",55%,619,(33%),619,33%,238,(13%),238,13%,"{'Campo Verde High School': '2 miles', 'Perry High School': '3 miles', 'South Valley Junior High School': '3 miles', 'Willis Junior High School': '3 miles', 'Santan Junior High School': '4 miles', 'Hamilton High School': '4 miles', 'Chandler High School': '5 miles', 'Basha High School': '5 miles', 'Chandler Online Academy': '5 miles', 'Mesquite Jr High School': '5 miles'}"
Campo Verde High School,Public,Gilbert,85297,09 - 12,"2,091",24.7:1,"1,349th out of 26,089",45th out of 659,"1,067",51%,"9,429",51%,"1,024",49%,"9,161",49%,"1,535",73%,"12,882",69%,318,15%,"3,618",19%,109,5%,851,5%,81,4%,697,4%,35,2%,341,2%,12,1%,159,1%,1,0%,42,0%,"2,082",(100%),"18,501",100%,6,(0%),53,0%,3,(0%),36,0%,"{'Perry High School': '2 miles', 'South Valley Junior High School': '3 miles', 'Higley High School': '4 miles', 'Willis Junior High School': '4 miles', 'Basha High School': '4 miles', 'Evit - East Campus': '5 miles', 'Gilbert Christian Schools': '5 miles', 'Gilbert High School': '5 miles', 'Sossaman Middle School': '5 miles', 'Santan Junior High School': '5 miles'}"
Cenpatico Schools,Private,Gilbert,85233,KG - 12,45,7:1,"5,624th out of 7,602",53rd out of 74,40,89%,"6,918",54%,5,11%,"6,005",46%,23,51%,"2,183",18%,11,24%,"8,030",65%,8,18%,638,5%,2,4%,128,1%,1,2%,727,6%,0,0%,42,0%,0,0%,629,5%,,,,,,,,,,,,,"{'Mesquite Jr High School': '2 miles', 'Mesquite High School': '2 miles', 'South Valley Junior High School': '3 miles', 'Gilbert High School': '3 miles', 'Gilbert Junior High School': '3 miles', 'Willis Junior High School': '3 miles', 'Chandler High School': '3 miles', 'Chandler Online Academy': '3 miles', 'Arizona College Prep Erie Campus': '4 miles', 'Mesa Transitional Learning Center': '4 miles'}"
Cooley Middle School,Public,Gilbert,85296,07 - 08,959,25.4:1,Unranked,Unknown,527,55%,"2,889",53%,432,45%,"2,516",47%,660,69%,"3,580",66%,178,19%,"1,089",20%,50,5%,265,5%,35,4%,242,4%,24,3%,179,3%,9,1%,32,1%,3,0%,18,0%,867,(90%),"4,880",90%,50,(5%),335,6%,42,(4%),190,4%,"{'Gilbert Christian Schools': '1 miles', 'Highland High School': '2 miles', 'Williams Field High School': '2 miles', 'Highland Jr High School': '3 miles', 'Gilbert Classical Academy High School': '3 miles', 'Evit - East Campus': '3 miles', 'Higley High School': '3 miles', 'Greenfield Junior High School': '3 miles', 'Gilbert High School': '4 miles', 'Franklin Junior High School': '5 miles'}"
Desert Hills High School,Public,Gilbert,85296,09 - 12,195,-1:1,"17,392nd out of 26,089",319th out of 659,100,51%,100,51%,95,49%,95,49%,72,37%,72,37%,61,31%,61,31%,33,17%,33,17%,21,11%,21,11%,8,4%,8,4%,0,0%,0,0%,0,0%,0,0%,95,(49%),95,49%,89,(46%),89,46%,11,(6%),11,6%,"{'South Valley Junior High School': '2 miles', 'Gilbert High School': '2 miles', 'Mesquite Jr High School': '3 miles', 'Gilbert Christian Schools': '3 miles', 'Williams Field High School': '3 miles', 'Gilbert Classical Academy High School': '3 miles', 'Greenfield Junior High School': '3 miles', 'Cooley Middle School': '4 miles', 'Campo Verde High School': '4 miles', 'Gilbert Junior High School': '4 miles'}"
Eduprize School Gilbert,Public,Gilbert,85233,KG - 11,"1,837",-1:1,"2,062nd out of 26,089",72nd out of 659,947,52%,947,52%,890,48%,890,48%,"1,313",71%,"1,313",71%,317,17%,317,17%,69,4%,69,4%,61,3%,61,3%,49,3%,49,3%,15,1%,15,1%,13,1%,13,1%,"1,823",(99%),"1,823",99%,11,(1%),11,1%,3,(0%),3,0%,"{'Gilbert Junior High School': '2 miles', 'Mesa Transitional Learning Center': '2 miles', 'Mesa High School': '2 miles', 'Mesquite Jr High School': '3 miles', 'Gilbert High School': '3 miles', 'Mesquite High School': '3 miles', 'Kino Junior High School': '4 miles', 'Redeemer Christian School': '4 miles', 'Mesa Distance Learning Program': '4 miles', 'East Valley Academy': '4 miles'}"
Gilbert Christian Schools,Private,Gilbert,85296,PK - 12,766,14:1,"536th out of 7,602",6th out of 74,399,52%,"3,582",54%,367,48%,"3,086",46%,636,85%,"4,386",69%,48,6%,839,13%,29,4%,407,6%,12,2%,340,5%,7,1%,26,0%,6,1%,51,1%,6,1%,323,5%,,,,,,,,,,,,,"{'Cooley Middle School': '1 miles', 'Williams Field High School': '2 miles', 'Greenfield Junior High School': '3 miles', 'Evit - East Campus': '3 miles', 'Gilbert Classical Academy High School': '3 miles', 'Higley High School': '3 miles', 'Highland High School': '3 miles', 'Highland Jr High School': '3 miles', 'South Valley Junior High School': '4 miles', 'Gilbert High School': '4 miles'}"
Gilbert Classical Academy High School,Public,Gilbert,85234,09 - 12,292,13:1,"14,893rd out of 26,089",266th out of 659,163,56%,"9,161",49%,129,44%,"9,429",51%,184,63%,"12,882",69%,53,18%,851,5%,43,15%,"3,618",19%,6,2%,697,4%,3,1%,341,2%,2,1%,159,1%,1,0%,42,0%,,,"18,501",100%,,,36,0%,,,53,0%,"{'Greenfield Junior High School': '1 miles', 'Gilbert High School': '2 miles', 'Williams Field High School': '2 miles', 'Franklin Junior High School': '3 miles', 'Gilbert Christian Schools': '3 miles', 'Gilbert Junior High School': '3 miles', 'Highland High School': '3 miles', 'Cooley Middle School': '3 miles', 'Highland Jr High School': '4 miles', 'Mesquite Jr High School': '4 miles'}"
Gilbert Classical Academy Junior,Public,Gilbert,85234,07 - 08,225,-1:1,Unranked,Unknown,122,54%,"9,161",49%,103,46%,"9,429",51%,144,64%,"12,882",69%,38,17%,851,5%,30,13%,"3,618",19%,6,3%,341,2%,6,3%,697,4%,1,0%,159,1%,0,0%,42,0%,,,"18,501",100%,,,36,0%,,,53,0%,"{'Gilbert Classical Academy High School': '1 miles', 'Greenfield Junior High School': '1 miles', 'Williams Field High School': '2 miles', 'Gilbert High School': '2 miles', 'Franklin Junior High School': '3 miles', 'Gilbert Christian Schools': '3 miles', 'Gilbert Junior High School': '3 miles', 'Highland High School': '3 miles', 'Cooley Middle School': '3 miles', 'Highland Jr High School': '4 miles'}"
Gilbert Global Academy High School,Public,Gilbert,85296,09 - 12,45,-1:1,"22,875th out of 26,089",480th out of 659,23,51%,"9,429",51%,22,49%,"9,161",49%,34,76%,"12,882",69%,6,13%,"3,618",19%,2,4%,697,4%,1,2%,42,0%,1,2%,851,5%,1,2%,159,1%,0,0%,341,2%,,,"18,501",100%,,,36,0%,,,53,0%,"{'Mesquite Jr High School': '1 miles', 'Gilbert High School': '2 miles', 'Gilbert Junior High School': '2 miles', 'Mesquite High School': '3 miles', 'South Valley Junior High School': '3 miles', 'Gilbert Classical Academy High School': '4 miles', 'Greenfield Junior High School': '4 miles', 'Mesa Transitional Learning Center': '4 miles', 'Mesa High School': '4 miles', 'Willis Junior High School': '4 miles'}"
Gilbert Global Academy Junior High School,Public,Gilbert,85296,07 - 08,3,-1:1,Unranked,Unknown,2,67%,"9,429",51%,1,33%,"9,161",49%,3,100%,"12,882",69%,0,0%,341,2%,0,0%,42,0%,0,0%,"3,618",19%,0,0%,697,4%,0,0%,851,5%,0,0%,159,1%,,,"18,501",100%,,,36,0%,,,53,0%,"{'Mesquite Jr High School': '1 miles', 'Gilbert High School': '2 miles', 'Gilbert Junior High School': '2 miles', 'Mesquite High School': '3 miles', 'South Valley Junior High School': '3 miles', 'Gilbert Classical Academy High School': '4 miles', 'Greenfield Junior High School': '4 miles', 'Mesa Transitional Learning Center': '4 miles', 'Mesa High School': '4 miles', 'Willis Junior High School': '4 miles'}"
Gilbert High School,Public,Gilbert,85234,09 - 12,"2,434",21.4:1,"739th out of 26,089",30th out of 659,"1,218",50%,"9,429",51%,"1,216",50%,"9,161",49%,"1,598",66%,"12,882",69%,579,24%,"3,618",19%,84,3%,851,5%,82,3%,697,4%,51,2%,341,2%,32,1%,159,1%,8,0%,42,0%,"2,420",(99%),"18,501",100%,9,(0%),36,0%,5,(0%),53,0%,"{'Mesquite Jr High School': '2 miles', 'Gilbert Classical Academy High School': '2 miles', 'Greenfield Junior High School': '2 miles', 'Gilbert Junior High School': '2 miles', 'South Valley Junior High School': '3 miles', 'Williams Field High School': '3 miles', 'Taylor Junior High School': '4 miles', 'Gilbert Christian Schools': '4 miles', 'Mesa High School': '4 miles', 'Mesquite High School': '4 miles'}"
Gilbert Junior High School,Public,Gilbert,85234,07 - 08,508,17.6:1,Unranked,Unknown,266,52%,"9,429",51%,242,48%,"9,161",49%,268,53%,"12,882",69%,176,35%,"3,618",19%,39,8%,697,4%,13,3%,851,5%,7,1%,341,2%,4,1%,159,1%,1,0%,42,0%,503,(99%),"18,501",100%,5,(1%),53,0%,0,(0%),36,0%,"{'Gilbert High School': '2 miles', 'Mesquite Jr High School': '2 miles', 'Mesa High School': '3 miles', 'Taylor Junior High School': '3 miles', 'Gilbert Classical Academy High School': '3 miles', 'Mesa Transitional Learning Center': '3 miles', 'Greenfield Junior High School': '3 miles', 'Mesquite High School': '4 miles', 'Franklin Junior High School': '4 miles', 'Redeemer Christian School': '5 miles'}"
Great Hearts Academies - Arete Prep,Public,Gilbert,85234,06 - 12,523,-1:1,"10,443rd out of 26,089",194th out of 659,265,51%,265,51%,258,49%,258,49%,370,71%,370,71%,91,17%,91,17%,21,4%,21,4%,19,4%,19,4%,18,3%,18,3%,4,1%,4,1%,0,0%,0,0%,,,523,100%,,,0,0%,,,0,0%,"{'Franklin Junior High School': '2 miles', 'Gilbert Classical Academy High School': '2 miles', 'Greenfield Junior High School': '3 miles', 'Taylor Junior High School': '3 miles', 'Williams Field High School': '3 miles', 'Highland High School': '3 miles', 'Gilbert High School': '3 miles', 'Gilbert Junior High School': '3 miles', 'Gilbert Christian Schools': '4 miles', 'Cooley Middle School': '4 miles'}"
Greenfield Junior High School,Public,Gilbert,85296,07 - 08,836,19:1,Unranked,Unknown,420,50%,"9,429",51%,416,50%,"9,161",49%,623,75%,"12,882",69%,147,18%,"3,618",19%,30,4%,851,5%,18,2%,697,4%,12,1%,341,2%,4,0%,159,1%,2,0%,42,0%,,,"18,501",100%,,,36,0%,,,53,0%,"{'Gilbert Classical Academy High School': '1 miles', 'Williams Field High School': '1 miles', 'Gilbert High School': '2 miles', 'Gilbert Junior High School': '3 miles', 'Gilbert Christian Schools': '3 miles', 'Highland High School': '3 miles', 'Cooley Middle School': '3 miles', 'Franklin Junior High School': '4 miles', 'Highland Jr High School': '4 miles', 'Mesquite Jr High School': '4 miles'}"
